Date,Purchase Bid,Sell Bid,MCV,Final_Volume,MCP
01-04-2022,120785.05,88912.83,67664.77,67664.77,5762.49
02-04-2022,102945.73,98194.90,50537.79,50537.78,5226.28
03-04-2022,117852.73,99423.03,58491.17,58511.44,5972.33
04-04-2022,119481.30,106977.35,68274.45,68349.05,5247.02
05-04-2022,175373.70,97495.28,65295.62,65295.62,7462.87
06-04-2022,239288.38,64236.60,57313.01,57580.62,10817.13
07-04-2022,217491.98,64349.80,47227.62,46988.83,10060.86
08-04-2022,176113.58,72661.65,59814.70,59786.40,9342.42
09-04-2022,187313.03,68342.10,57199.10,57199.10,9864.62
10-04-2022,130448.10,74970.10,48889.16,48889.17,7370.23
11-04-2022,224802.93,77927.93,66996.22,66988.40,9317.28
12-04-2022,272695.33,65358.35,54584.95,53933.25,10525.90
13-04-2022,288668.15,60865.60,55012.75,55012.74,10683.12
14-04-2022,161559.05,76827.80,59043.94,59043.94,8723.87
15-04-2022,126952.93,110404.88,77793.93,77793.93,5944.09
16-04-2022,189413.23,75864.25,59618.70,59618.69,9384.13
17-04-2022,162816.40,99898.30,67948.72,67948.72,7294.56
18-04-2022,252526.50,75848.50,65725.25,65725.25,9808.69
19-04-2022,365233.48,60145.25,52328.84,52328.84,11191.72
20-04-2022,462626.20,72952.98,70363.59,70363.59,11469.69
21-04-2022,469983.33,51607.08,51547.65,51547.65,11850.28
22-04-2022,498930.35,52685.28,52685.28,52685.28,12000.00
23-04-2022,576825.08,51719.53,51719.53,51719.53,12000.00
24-04-2022,344794.10,69267.55,60715.28,60715.29,8774.78
25-04-2022,302002.60,47320.15,50396.17,50396.17,11157.15
26-04-2022,423547.78,39149.08,38044.06,38044.06,11382.09
27-04-2022,821388.70,23919.70,23919.70,23919.70,12000.00
28-04-2022,697530.60,30032.95,30032.95,30032.95,12000.00
29-04-2022,616295.23,36683.53,36683.53,36683.53,12000.00
30-04-2022,392763.90,100030.25,98972.73,98972.73,11672.53
01-05-2022,137398.75,97205.33,82896.74,82896.74,6326.40
02-05-2022,182128.43,97226.63,87443.74,87443.75,7382.49
03-05-2022,253740.43,103902.28,94031.17,94029.75,8921.89
04-05-2022,170836.28,100159.43,89537.92,89537.92,8875.24
05-05-2022,137577.55,91299.78,77063.39,77063.39,8904.66
06-05-2022,131603.25,85913.08,70445.96,70445.95,7634.53
07-05-2022,105983.93,64387.80,52701.35,52701.35,6500.01
08-05-2022,78991.83,63661.45,42017.13,42017.13,5316.00
09-05-2022,90014.83,79797.15,56907.09,56907.09,5360.92
10-05-2022,115585.65,106600.88,76442.88,76442.89,5762.00
11-05-2022,126668.38,122235.93,88162.79,88162.79,5301.14
12-05-2022,109400.33,127193.68,79925.04,79925.03,4180.63
13-05-2022,94466.03,130091.73,68564.00,68564.00,4271.11
14-05-2022,98781.50,138041.30,76819.79,76819.78,4017.80
15-05-2022,77479.73,113452.20,60074.02,60074.02,3510.83
16-05-2022,102752.03,123044.68,76204.64,76204.64,4468.43
17-05-2022,31187.50,31406.68,22066.10,21951.30,4805.16
24-05-2022,116058.73,103412.65,69609.01,69400.23,6309.84
25-05-2022,180545.78,114255.00,84311.29,84311.29,7852.73
26-05-2022,124566.50,116774.43,71847.98,71847.98,6063.98
27-05-2022,98418.95,128177.38,69834.80,68543.67,4404.83
28-05-2022,130765.53,120459.68,73525.99,73526.00,5990.68
29-05-2022,103607.90,117497.33,62453.89,62453.90,5429.72
30-05-2022,125172.70,109768.80,72589.65,72589.66,6989.44
31-05-2022,20812.70,19293.68,12216.47,12216.47,6301.42
01-06-2022,144209.20,116016.53,72873.80,72873.80,7112.59
02-06-2022,137739.88,90546.13,58196.22,58196.22,8332.87
03-06-2022,133844.48,101173.13,64219.34,64219.33,7806.18
04-06-2022,169168.40,90055.48,62255.10,62255.10,8702.27
05-06-2022,140058.20,94608.08,61174.26,61174.26,7907.22
06-06-2022,123955.38,101584.53,64565.40,64565.40,7435.19
07-06-2022,110548.13,124762.48,61375.19,61375.20,6601.48
08-06-2022,112360.13,124834.00,66500.86,66500.87,6897.56
09-06-2022,111888.68,134433.98,72525.63,72525.62,6030.60
10-06-2022,150438.33,117069.63,77577.70,77577.70,8451.32
11-06-2022,137348.00,131289.85,87051.41,87051.40,7316.99
12-06-2022,111738.95,142870.83,77029.55,77029.55,5859.75
13-06-2022,200549.40,95698.70,79948.73,79948.74,9602.84
14-06-2022,227908.28,112111.10,96429.85,96429.84,10402.63
15-06-2022,166126.25,115063.45,95334.84,95334.84,7523.95
16-06-2022,117440.73,106577.93,70779.30,70779.31,5904.69
17-06-2022,118770.85,150107.20,83383.62,83383.63,4908.46
18-06-2022,112236.18,136878.35,86725.16,86725.16,4132.13
19-06-2022,91115.33,138938.33,77884.03,77884.04,2964.82
20-06-2022,86121.28,121556.60,70089.08,70089.09,3126.02
21-06-2022,77961.80,120767.08,57363.41,57363.41,3492.06
22-06-2022,118819.00,107767.43,64259.34,64259.34,5709.96
23-06-2022,118577.38,99483.78,64816.64,64816.64,6783.06
24-06-2022,123795.30,105929.70,65564.25,65564.26,6063.78
25-06-2022,134324.40,118670.08,76307.62,76307.63,6195.98
26-06-2022,126669.03,109428.05,75835.46,75309.46,6456.22
27-06-2022,218490.98,87100.10,74013.63,73966.11,9080.35
28-06-2022,165594.03,101473.08,79266.91,79266.91,8830.52
29-06-2022,103422.58,120578.08,79265.62,79240.38,3970.43
30-06-2022,109311.28,165436.70,92608.46,92226.96,3230.30
01-07-2022,91598.40,140063.03,66754.42,66754.42,3679.91
02-07-2022,102103.03,122652.48,65873.02,65873.03,4240.43
03-07-2022,86534.43,127922.45,59809.25,59809.25,3640.89
04-07-2022,118625.20,108595.23,61004.59,61004.58,5602.76
05-07-2022,148252.10,128619.75,83189.03,83189.03,6651.49
06-07-2022,137967.98,99537.78,61791.16,61791.17,6630.41
07-07-2022,126004.78,114710.13,77100.00,77100.00,6783.30
08-07-2022,119459.20,122078.50,84605.78,84605.77,5324.39
09-07-2022,83930.48,120978.05,66110.75,66073.82,3552.96
10-07-2022,77861.83,146174.20,65366.04,65366.03,2968.83
11-07-2022,86252.73,118212.85,62712.80,62712.81,4201.17
12-07-2022,89413.63,124337.88,66918.72,66918.73,3724.56
13-07-2022,93324.90,124652.90,68584.55,68584.55,4113.17
14-07-2022,87197.10,124353.20,68056.11,68056.15,3762.78
15-07-2022,92722.40,120206.48,65299.83,65299.83,4150.62
16-07-2022,90647.10,104758.00,57319.21,57319.20,4718.15
17-07-2022,80006.08,110744.18,59780.43,59780.42,3908.95
18-07-2022,151739.88,101044.25,61841.14,61841.14,5753.41
19-07-2022,170367.30,101441.35,71849.74,71849.74,6466.73
20-07-2022,128496.63,122934.00,89167.36,89167.37,5850.80
21-07-2022,99895.33,136091.70,78279.57,78279.57,3787.94
22-07-2022,98791.55,102378.33,65268.89,65268.89,4241.66
23-07-2022,78047.48,107801.23,53641.60,53641.61,3491.80
24-07-2022,71412.53,114568.78,54119.54,54119.54,3197.23
25-07-2022,94705.83,111732.20,64984.46,64984.47,4113.87
26-07-2022,145106.35,125862.68,85292.29,85292.28,5542.05
27-07-2022,155824.53,105285.30,75413.36,75413.36,6194.41
28-07-2022,137796.98,93509.63,64257.36,64257.36,6236.07
29-07-2022,150277.75,106554.00,82831.82,82831.82,6687.52
30-07-2022,98158.48,98085.65,61345.10,61345.10,4315.60
31-07-2022,96875.65,136802.18,82452.31,82452.31,3087.21
01-08-2022,93488.25,122111.38,65722.84,65722.84,3844.55
02-08-2022,134143.48,116486.60,62673.72,62673.72,5932.20
03-08-2022,165526.73,99390.58,65751.56,65751.56,7018.37
04-08-2022,130162.20,91539.33,52108.14,52108.13,6337.87
05-08-2022,104292.33,107946.85,58926.26,58926.26,4725.60
06-08-2022,105208.68,127009.68,67235.40,67235.40,4580.53
07-08-2022,98739.90,150233.50,75158.83,75158.83,3265.89
08-08-2022,91058.15,111822.40,63378.20,63230.54,3698.87
09-08-2022,111831.48,136708.58,84956.76,84956.77,3660.13
10-08-2022,114716.23,142113.45,88529.34,88528.09,3546.62
11-08-2022,89164.45,141510.05,76199.40,76199.41,2598.96
12-08-2022,105280.13,121700.28,79826.61,79826.61,3905.80
13-08-2022,116101.70,127253.80,85389.12,85188.97,4226.00
14-08-2022,87072.78,125508.50,73651.22,73651.22,2975.90
15-08-2022,86427.15,135090.63,67838.26,67838.26,2635.74
16-08-2022,135039.18,150892.93,104180.36,104180.36,4170.81
17-08-2022,116331.73,128899.78,83102.29,83102.29,4497.12
18-08-2022,131374.35,114115.48,76796.61,76796.62,5706.64
19-08-2022,84460.03,85488.10,53452.15,53452.15,5190.61
20-08-2022,86225.50,102550.23,61538.53,61538.54,3940.66
21-08-2022,84141.00,120783.08,66798.57,66798.58,3243.55
22-08-2022,122126.93,134491.00,94478.58,94478.59,3837.38
23-08-2022,106121.13,126573.53,76951.62,76951.62,4291.09
24-08-2022,110708.50,97985.10,62617.57,62617.57,5631.77
25-08-2022,155800.38,96053.80,59023.06,59023.05,6346.61
26-08-2022,223264.15,90299.10,70832.17,70832.18,8049.61
27-08-2022,160149.20,101736.68,81440.48,81440.48,7720.42
28-08-2022,115190.88,107930.98,77425.03,77425.03,5539.20
29-08-2022,187073.63,104737.95,79261.13,79261.13,7240.49
30-08-2022,191227.98,100918.15,78302.72,78302.71,7530.63
31-08-2022,157541.85,91115.43,72258.50,72258.49,8532.57
01-09-2022,168014.25,97161.88,74671.99,74671.98,8067.07
02-09-2022,154539.65,85789.88,65393.66,65393.66,7446.18
03-09-2022,116515.93,100747.70,68331.66,68331.67,6458.15
04-09-2022,85423.73,117736.20,62645.10,62645.11,3992.83
05-09-2022,124464.95,112281.45,73160.59,73160.58,6590.88
06-09-2022,122425.23,98069.13,68754.38,68754.38,7396.99
07-09-2022,139339.55,117988.00,86089.90,86089.90,7165.90
08-09-2022,131048.83,107920.93,75459.11,75423.29,6261.52
09-09-2022,112772.60,110255.23,72997.35,71157.09,6395.98
10-09-2022,92418.95,104304.68,63928.87,63361.19,5256.99
11-09-2022,87206.53,135458.30,70940.91,69102.09,3111.84
12-09-2022,90167.60,130405.60,74581.04,73920.40,3098.72
13-09-2022,92081.03,114214.88,67666.96,67666.97,3691.62
14-09-2022,89621.43,109067.83,69661.32,69661.33,3671.69
15-09-2022,89211.48,109124.88,69873.98,69873.99,3648.68
16-09-2022,83863.73,113509.18,72234.24,72234.25,3060.20
17-09-2022,92855.65,111610.58,74941.99,74941.99,3531.10
18-09-2022,100817.63,104299.33,70266.89,70266.89,4844.26
19-09-2022,111877.90,106260.05,72510.66,72510.66,5297.75
20-09-2022,99480.08,114987.10,74316.96,74316.99,4137.91
21-09-2022,102813.15,123528.33,80230.45,80230.45,3723.01
22-09-2022,111330.10,136128.68,91368.19,91368.19,3359.87
23-09-2022,110526.30,155069.63,97164.11,97164.11,2685.69
24-09-2022,119054.85,147871.20,100154.52,100154.51,3241.52
25-09-2022,119315.35,161365.40,104558.87,103711.53,2826.16
26-09-2022,136297.88,107919.85,76172.84,76172.84,5583.51
27-09-2022,110402.50,97938.98,64144.61,64144.61,5199.69
28-09-2022,97317.63,98012.28,54987.48,54987.48,5207.77
29-09-2022,92590.45,95766.38,51827.79,51827.79,5025.10
30-09-2022,87296.08,98157.88,49454.40,49454.42,4674.65
01-10-2022,91686.30,108782.03,63411.53,63411.53,3838.78
02-10-2022,93163.08,132103.83,74197.61,74197.60,3131.06
03-10-2022,116103.65,129803.78,85532.77,85532.78,4208.57
04-10-2022,139680.13,157113.00,113610.68,113610.68,4088.76
05-10-2022,144050.90,175118.30,122701.52,122701.54,3601.02
06-10-2022,146779.40,168748.33,124360.41,124360.41,3827.55
07-10-2022,124708.50,149102.10,101044.28,101044.28,3946.16
08-10-2022,104437.83,135558.70,84766.84,84766.85,3201.46
09-10-2022,87998.95,125180.85,73131.26,73131.25,2881.07
10-10-2022,102523.55,133700.00,82469.97,82469.97,3125.07
11-10-2022,97774.50,130175.03,79733.39,79733.41,3090.64
12-10-2022,94059.43,119761.48,71650.29,71650.29,3552.35
13-10-2022,101010.50,121116.20,72378.89,72378.89,3719.83
14-10-2022,102456.23,106273.33,65423.73,65423.73,3958.28
15-10-2022,95458.63,107510.05,60382.87,60382.87,3894.91
16-10-2022,92812.65,119951.35,67476.24,67476.25,3281.91
17-10-2022,114933.00,111341.45,67724.66,67724.66,4623.98
18-10-2022,107775.00,111098.18,65537.12,65537.12,4569.19
19-10-2022,105121.53,110780.83,65316.62,65316.62,4541.89
20-10-2022,97959.13,116376.53,66069.72,66069.72,4010.03
21-10-2022,98203.53,117549.63,64956.94,64956.94,3948.35
22-10-2022,88898.08,112438.10,59130.99,59130.99,3742.10
23-10-2022,94420.53,122223.63,71177.28,71177.28,3280.45
24-10-2022,84222.95,135664.18,69394.92,69394.93,2491.60
25-10-2022,71512.68,126182.15,62527.60,62527.60,2237.06
26-10-2022,79659.68,107404.50,59202.99,59202.99,3454.85
27-10-2022,98031.98,114822.08,63307.06,63307.06,4408.41
28-10-2022,100296.43,100387.28,56162.55,56162.54,5040.87
29-10-2022,102014.30,94340.05,52855.78,52855.77,5337.70
30-10-2022,79496.88,102697.58,53839.38,53839.37,4046.94
31-10-2022,80397.98,89303.70,45118.02,45118.02,4748.63
01-11-2022,87735.43,112164.93,51307.03,51307.03,4565.12
02-11-2022,87673.65,107370.75,48906.89,48906.88,4921.54
03-11-2022,80428.48,109376.98,46622.70,46622.70,4544.78
04-11-2022,89820.83,99684.73,45999.61,45999.61,5302.85
05-11-2022,104175.40,102153.10,53113.26,53113.26,5682.57
06-11-2022,76308.48,105637.80,45003.00,45002.99,4338.01
07-11-2022,101839.50,113056.73,58776.05,58776.05,5468.77
08-11-2022,91345.60,114393.10,49219.33,49219.33,5102.34
09-11-2022,82393.25,111247.00,45936.82,45936.82,4733.29
10-11-2022,75859.73,116042.33,43925.50,43925.49,4200.82
11-11-2022,72878.68,117053.30,37224.70,37224.69,4254.58
12-11-2022,74738.25,117673.75,40029.75,40029.75,4146.63
13-11-2022,84242.70,121831.55,50181.94,50181.94,4182.04
14-11-2022,82272.55,103476.25,45048.51,45048.50,4541.90
15-11-2022,94296.68,98947.73,53381.10,53381.10,5188.83
16-11-2022,102544.30,107070.40,57338.68,57338.67,5458.15
17-11-2022,85003.38,106017.68,48323.03,48323.03,4961.60
18-11-2022,93397.58,117568.30,54735.93,54735.93,4820.55
19-11-2022,78306.15,112430.75,40605.85,40605.85,4397.67
20-11-2022,67796.28,108775.88,38373.81,38373.81,4188.33
21-11-2022,89739.13,116374.88,51163.93,51163.94,4641.61
22-11-2022,75704.13,108691.50,38325.92,38325.91,4667.22
23-11-2022,83252.40,115746.78,42400.14,42400.14,4834.06
24-11-2022,90142.68,116720.00,49181.69,49181.69,5228.59
25-11-2022,87284.68,117344.15,48937.00,48937.00,4737.83
26-11-2022,66123.80,105260.08,34851.27,34851.27,4410.31
27-11-2022,74075.70,120520.40,40874.26,40874.26,4135.80
28-11-2022,92728.83,113636.38,50024.14,50024.14,4933.19
29-11-2022,90785.18,103013.38,48079.86,48079.86,5335.27
30-11-2022,88359.23,113033.95,49054.06,48985.39,4812.86
01-12-2022,87134.93,116561.85,53943.19,53943.19,4666.05
02-12-2022,99366.73,109107.08,59425.71,59425.73,5343.63
03-12-2022,87479.18,110817.80,53181.45,53181.45,4682.82
04-12-2022,73778.35,117614.25,47246.44,47246.44,4227.35
05-12-2022,90441.40,115416.00,58767.59,58767.59,4333.14
06-12-2022,97081.90,117244.78,61627.42,61627.41,4441.62
07-12-2022,95568.38,102309.43,54761.00,54761.00,4859.99
08-12-2022,89840.13,96987.63,47826.60,47826.60,4826.05
09-12-2022,79364.10,107203.68,53400.76,53400.75,4116.66
10-12-2022,79823.73,108067.83,52973.60,52973.60,3798.01
11-12-2022,68497.13,105457.38,46808.15,46808.15,3427.18
12-12-2022,77321.38,104046.50,52704.98,52704.98,3736.99
13-12-2022,79069.98,96276.08,47939.16,47939.15,4232.23
14-12-2022,92124.65,99975.75,54903.15,54903.15,4446.41
15-12-2022,106883.03,91248.28,56067.79,56067.79,5422.61
16-12-2022,127308.58,89920.15,62114.52,62114.52,6826.15
17-12-2022,123210.53,96952.13,62925.35,62925.35,6171.22
18-12-2022,96974.90,105011.48,61082.44,61082.43,4785.92
19-12-2022,110721.10,92480.70,58909.75,58909.75,6069.18
20-12-2022,111397.20,92913.03,61838.12,61838.12,6119.49
21-12-2022,90621.80,87396.83,49811.77,49811.78,5283.40
22-12-2022,89681.78,75190.65,44021.89,44021.88,5625.90
23-12-2022,100216.50,85699.28,54847.12,54847.12,6003.41
24-12-2022,96206.95,82125.80,51358.83,51358.83,6191.95
25-12-2022,107171.80,101604.25,69326.55,69326.54,5589.31
26-12-2022,118229.03,109591.65,73780.80,73780.79,5665.62
27-12-2022,104725.25,107375.23,67024.05,67024.05,4924.82
28-12-2022,119616.88,82271.13,54614.34,54614.34,6888.56
29-12-2022,124189.18,90542.60,60585.77,60585.77,6419.76
30-12-2022,112760.35,105852.00,72166.20,72166.21,5918.73
31-12-2022,96307.13,99112.55,57081.35,57081.35,5411.15
01-01-2023,70259.03,108302.68,47877.61,47877.60,4032.42
02-01-2023,95716.93,102137.95,54020.65,54020.65,5310.53
03-01-2023,118804.13,98559.05,59968.85,59968.85,5825.28
04-01-2023,114639.68,112356.25,68844.70,68844.71,5359.53
05-01-2023,166936.20,110862.28,79827.93,79827.93,6947.29
06-01-2023,250084.65,125586.00,104243.81,104243.81,8475.30
07-01-2023,204176.48,128256.28,103059.80,103059.80,7697.82
08-01-2023,116360.93,105684.40,73185.61,73185.61,5594.08
09-01-2023,180722.73,87086.83,62894.90,62894.90,7805.91
10-01-2023,220405.75,89084.20,72057.92,72057.92,9284.32
11-01-2023,204838.23,96164.65,73703.72,73703.71,8210.93
12-01-2023,156247.23,100690.65,77871.45,77871.44,7838.12
13-01-2023,161722.30,84395.85,64294.79,64294.79,8393.60
14-01-2023,114989.78,110795.85,70570.74,70570.74,5071.81
15-01-2023,86035.23,123092.03,63709.69,63709.70,3677.05
16-01-2023,109907.53,116223.73,76100.11,76100.11,4615.46
17-01-2023,112386.40,118683.65,73246.31,73246.30,5222.36
18-01-2023,111163.30,109497.80,64161.28,64161.29,5851.75
19-01-2023,125632.58,99234.65,65402.10,65402.10,7005.44
20-01-2023,158272.50,88728.28,65680.95,65680.95,7851.64
21-01-2023,112563.90,94392.18,59422.03,59422.03,6388.68
22-01-2023,90045.50,113005.05,58485.81,58485.81,4546.26
23-01-2023,89887.88,121151.33,68797.27,68797.27,4046.67
24-01-2023,85555.20,105712.13,53812.58,53812.58,4500.86
25-01-2023,100343.65,122826.13,68855.15,68855.16,4499.04
26-01-2023,73139.78,121678.00,58002.53,58002.53,3114.67
27-01-2023,70440.25,113098.35,53659.27,53659.27,3304.51
28-01-2023,99134.53,111187.00,64264.66,64264.66,4571.13
29-01-2023,89288.75,121914.10,65192.23,65192.24,3827.40
30-01-2023,101549.63,108318.98,63535.02,63535.02,4524.22
31-01-2023,98178.45,114947.70,67141.29,67141.30,4730.90
01-02-2023,80940.60,101209.95,48079.06,48079.06,4567.00
02-02-2023,82729.68,96053.90,47189.52,47189.52,4611.47
03-02-2023,85754.10,101091.18,48934.89,48934.87,4615.50
04-02-2023,101727.95,86514.33,48075.18,48075.16,6150.78
05-02-2023,80554.80,99525.18,51546.59,51546.60,4101.05
06-02-2023,85220.93,97328.20,52881.27,52881.27,4786.16
07-02-2023,105552.38,94515.43,55541.78,55541.76,5647.89
08-02-2023,121471.83,83688.90,52398.89,52398.89,6763.29
09-02-2023,109957.40,84238.23,53701.03,53701.02,6457.42
10-02-2023,106754.78,92760.45,60966.78,60966.78,6055.24
11-02-2023,140684.83,94932.55,69996.69,69996.67,7450.80
12-02-2023,97003.63,115143.75,65844.70,65844.71,4477.18
13-02-2023,120415.53,102352.93,68533.63,68533.63,5865.30
14-02-2023,201248.38,71103.33,60105.09,60105.09,9497.91
15-02-2023,203841.28,72750.50,61638.96,61638.96,9710.70
16-02-2023,181084.15,79635.78,61699.85,61699.85,8455.24
17-02-2023,170710.50,79976.60,62679.18,62679.19,8230.73
18-02-2023,162430.00,85431.00,73203.86,73203.88,8336.39
19-02-2023,114935.80,105657.23,67674.38,67674.38,5416.97
20-02-2023,129288.43,99163.15,70207.94,70207.94,6181.02
21-02-2023,186733.75,90958.53,75686.88,75686.88,8831.62
22-02-2023,142851.50,101026.53,72388.44,72388.45,6990.27
23-02-2023,139565.55,92962.33,65223.31,65223.31,6734.05
24-02-2023,183826.38,81420.38,70838.84,70838.84,9394.95
25-02-2023,167264.15,74215.43,62776.32,62776.33,9660.47
26-02-2023,138909.43,102359.48,76127.72,76127.72,6295.16
27-02-2023,154284.65,71354.75,54253.16,54253.16,9100.52
28-02-2023,155375.25,71043.03,55904.59,55904.59,9093.01
01-03-2023,109616.88,92356.78,63194.40,63194.40,5417.39
02-03-2023,117542.03,84488.55,56417.59,56417.59,7543.80
03-03-2023,130979.33,89220.85,67065.89,67065.89,7970.94
04-03-2023,116237.93,80904.95,57680.96,57680.96,6687.27
05-03-2023,96737.83,98982.60,58343.16,58343.17,4830.24
06-03-2023,106955.48,93555.35,61731.49,61731.50,5665.46
07-03-2023,109732.25,133928.48,78281.43,78281.44,4150.91
08-03-2023,118983.03,155583.65,89738.37,89709.71,3855.17
09-03-2023,113120.50,129037.78,82232.56,82232.56,3857.11
10-03-2023,108227.98,105714.18,63684.54,63684.54,5007.45
11-03-2023,122335.38,108562.10,71801.00,71801.00,5825.78
12-03-2023,104618.83,108719.13,66756.24,66756.25,4767.79
13-03-2023,102966.85,90260.63,51660.32,51660.33,5461.41
14-03-2023,112136.50,87695.85,52112.21,52112.21,6020.39
15-03-2023,127688.25,94813.30,67447.05,67447.06,6017.89
16-03-2023,112045.33,99844.53,68736.52,68736.51,5043.94
17-03-2023,97444.48,108735.45,68150.62,68150.62,3750.91
18-03-2023,90762.00,110393.48,67781.44,67781.44,3634.17
19-03-2023,100323.55,160475.88,87327.36,87327.37,2647.98
20-03-2023,118113.50,150430.83,98522.47,98486.51,3151.41
21-03-2023,120326.25,152061.30,96024.34,96015.09,3262.27
22-03-2023,107061.68,116923.60,72622.47,72618.45,3692.18
23-03-2023,93962.13,101240.73,55126.06,55126.06,4157.03
24-03-2023,108535.05,108222.93,63769.05,63769.05,4644.93
25-03-2023,116239.03,103619.70,64973.26,64999.27,5562.47
26-03-2023,78847.70,100306.60,48741.69,48125.67,3817.65
27-03-2023,102365.35,101090.48,60807.96,60807.96,5078.65
28-03-2023,133932.00,84278.48,58289.84,58291.79,7504.82
29-03-2023,126695.28,93690.13,69106.38,69215.68,6716.01
30-03-2023,95185.40,96298.70,58898.08,58880.28,4430.00
31-03-2023,94291.90,121641.98,71308.72,71351.95,3406.33
01-04-2023,93852.75,126774.13,79730.28,79491.52,3074.67
02-04-2023,82999.50,111153.20,62627.15,62098.90,3440.44
03-04-2023,102053.65,113161.68,67857.97,67903.64,4101.66
04-04-2023,107027.43,109515.25,61134.40,60967.39,4464.03
05-04-2023,99905.45,105302.78,63112.40,63232.71,4577.12
06-04-2023,117239.20,108234.10,76904.26,75911.15,5128.16
07-04-2023,119545.73,102520.33,72057.38,72080.29,5617.83
08-04-2023,134478.00,108699.10,78046.51,78111.35,5975.60
09-04-2023,119341.58,115515.73,77598.85,77648.62,4986.84
10-04-2023,132962.48,100098.83,71793.94,71603.42,5735.64
11-04-2023,163397.65,85027.05,66914.07,66914.07,7584.63
12-04-2023,138416.93,100906.25,67570.89,67585.88,6538.52
13-04-2023,210873.28,87309.95,62691.60,62462.89,7128.93
14-04-2023,265019.80,90388.60,65875.39,66251.30,7245.63
15-04-2023,260509.25,82691.90,63082.58,63020.83,6856.63
16-04-2023,204202.20,92587.33,63566.75,63036.38,6531.41
17-04-2023,239704.98,89105.00,63310.21,63310.20,6472.83
18-04-2023,359860.00,91642.88,74889.92,74889.92,7788.45
19-04-2023,245983.20,99572.23,76910.38,76893.83,6402.21
20-04-2023,138581.58,102429.75,70680.39,70277.24,5107.68
21-04-2023,105468.80,121596.05,77380.32,77178.17,3965.36
22-04-2023,94785.90,120399.70,72701.56,72397.06,3403.24
23-04-2023,86952.95,143577.03,71222.01,70665.48,2764.39
24-04-2023,106094.30,127544.88,80683.03,80492.57,3600.89
25-04-2023,103871.80,122560.55,75077.87,75077.87,3831.78
26-04-2023,90982.35,121941.85,67045.56,67039.30,3564.88
27-04-2023,112073.53,132358.05,84959.33,84952.53,3595.65
28-04-2023,103340.95,122970.95,76298.47,76298.48,3501.95
29-04-2023,105205.28,129421.20,81759.34,81759.35,3413.38
30-04-2023,97566.83,135558.15,82902.53,82902.53,2798.23
01-05-2023,90257.05,144417.78,80732.71,80732.71,2254.68
02-05-2023,105857.15,137957.45,86809.71,86809.70,3095.11
03-05-2023,102115.75,114367.73,71782.91,71782.91,3673.84
